key	host	time	test	card	backend	build	parameter	value	unit	note
context_depth||vulkan|v0.2.0|DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:f16:d4096:vram	LLMWorkerHost	2026-08-26T04:26:42+0200	context_depth		vulkan	v0.2.0	DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:f16:d4096:vram	6641	MiB peak	
context_depth||vulkan|v0.2.0|DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:f16:d8192:pp	LLMWorkerHost	2026-08-26T04:27:01+0200	context_depth		vulkan	v0.2.0	DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:f16:d8192:pp	936.49	t/s prefill	peak 7250 MiB VRAM during the run
context_depth||vulkan|v0.2.0|DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:f16:d8192:tg	LLMWorkerHost	2026-08-26T04:27:01+0200	context_depth		vulkan	v0.2.0	DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:f16:d8192:tg	41.29	t/s generation	peak 7250 MiB VRAM during the run
context_depth||vulkan|v0.2.0|DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:f16:d8192:vram	LLMWorkerHost	2026-08-26T04:27:01+0200	context_depth		vulkan	v0.2.0	DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:f16:d8192:vram	7250	MiB peak	
context_depth||vulkan|v0.2.0|DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:f16:d16384:pp	LLMWorkerHost	2026-08-26T04:27:32+0200	context_depth		vulkan	v0.2.0	DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:f16:d16384:pp	657.34	t/s prefill	peak 8466 MiB VRAM during the run
context_depth||vulkan|v0.2.0|DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:f16:d16384:tg	LLMWorkerHost	2026-08-26T04:27:32+0200	context_depth		vulkan	v0.2.0	DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:f16:d16384:tg	36.32	t/s generation	peak 8466 MiB VRAM during the run
context_depth||vulkan|v0.2.0|DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:f16:d16384:vram	LLMWorkerHost	2026-08-26T04:27:32+0200	context_depth		vulkan	v0.2.0	DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:f16:d16384:vram	8466	MiB peak	
context_depth||vulkan|v0.2.0|DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:f16:d32768:pp	LLMWorkerHost	2026-08-26T04:28:33+0200	context_depth		vulkan	v0.2.0	DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:f16:d32768:pp	447.43	t/s prefill	peak 10898 MiB VRAM during the run
context_depth||vulkan|v0.2.0|DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:f16:d32768:tg	LLMWorkerHost	2026-08-26T04:28:33+0200	context_depth		vulkan	v0.2.0	DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:f16:d32768:tg	28.93	t/s generation	peak 10898 MiB VRAM during the run
context_depth||vulkan|v0.2.0|DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:f16:d32768:vram	LLMWorkerHost	2026-08-26T04:28:33+0200	context_depth		vulkan	v0.2.0	DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:f16:d32768:vram	10898	MiB peak	
context_depth||vulkan|v0.2.0|DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:f16:d65536:pp	LLMWorkerHost	2026-08-26T04:31:10+0200	context_depth		vulkan	v0.2.0	DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:f16:d65536:pp	255.68	t/s prefill	peak 15765 MiB VRAM during the run
context_depth||vulkan|v0.2.0|DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:f16:d65536:tg	LLMWorkerHost	2026-08-26T04:31:10+0200	context_depth		vulkan	v0.2.0	DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:f16:d65536:tg	21.46	t/s generation	peak 15765 MiB VRAM during the run
context_depth||vulkan|v0.2.0|DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:f16:d65536:vram	LLMWorkerHost	2026-08-26T04:31:10+0200	context_depth		vulkan	v0.2.0	DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:f16:d65536:vram	15765	MiB peak	
context_depth||vulkan|v0.2.0|DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:f16:d131072	LLMWorkerHost	2026-08-26T04:31:21+0200	context_depth		vulkan	v0.2.0	DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:f16:d131072			no measurement -- most likely too little VRAM for the cache
context_depth||vulkan|v0.2.0|DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:f16:d262144	LLMWorkerHost	2026-08-26T04:31:39+0200	context_depth		vulkan	v0.2.0	DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:f16:d262144			no measurement -- most likely too little VRAM for the cache
context_depth||vulkan|v0.2.0|DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:q8_0:d0:pp	LLMWorkerHost	2026-08-26T04:31:57+0200	context_depth		vulkan	v0.2.0	DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:q8_0:d0:pp	1264.89	t/s prefill	peak 6001 MiB VRAM during the run
context_depth||vulkan|v0.2.0|DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:q8_0:d0:tg	LLMWorkerHost	2026-08-26T04:31:57+0200	context_depth		vulkan	v0.2.0	DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:q8_0:d0:tg	47.88	t/s generation	peak 6001 MiB VRAM during the run
context_depth||vulkan|v0.2.0|DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:q8_0:d0:vram	LLMWorkerHost	2026-08-26T04:31:57+0200	context_depth		vulkan	v0.2.0	DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:q8_0:d0:vram	6001	MiB peak	
context_depth||vulkan|v0.2.0|DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:q8_0:d4096:pp	LLMWorkerHost	2026-08-26T04:32:12+0200	context_depth		vulkan	v0.2.0	DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:q8_0:d4096:pp	1053.08	t/s prefill	peak 6348 MiB VRAM during the run
context_depth||vulkan|v0.2.0|DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:q8_0:d4096:tg	LLMWorkerHost	2026-08-26T04:32:12+0200	context_depth		vulkan	v0.2.0	DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:q8_0:d4096:tg	40.41	t/s generation	peak 6348 MiB VRAM during the run
